IDISK CUI,IDISK AUI,TERM,UMLS CUI,MISSINGNESS TYPE,INGREDIENT TYPE,Notes (Optional),IGNORE
NMCD0477349,DA0140785,3beta-hydroxy-androst-4-ene-17-one,C0002845,,,ambiguous,Y
NMCD0477349,DA0140786,3beta-hydroxy-androst-4-en-17-one,,,,ambiguous,Y
NMCD0477349,DA0140787,4-androstene-3beta-ol-17-one,,,,ambiguous,Y
NMCD0477349,DA0140788,4-DHEA,,,,ambiguous,Y
NMCD0477349,DA0140789,4-androstene-3beta-ol,,,,ambiguous,Y
NMCD0477349,DA0140790,Androsterone,"C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002865, C0002866, C0002866",,,,
NMCD0477349,DA0140791,4-Androsterone,,,,,
NMCD0477349,DA0140792,17-one,,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141928,Kirta,C1256659,SEMANTIC,LIVING BEING,https://hort.purdue.edu/newcrop/CropFactSheets/andrographis.html,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141929,Gubak,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141930,Chuanxinlian,C2605681,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141931,Andrographis paniculata extract,C0938426,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141932,Chuan Xin Lian,C2605681,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141933,Kalamegha,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141934,Supari,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141935,Fa-Tha-Lai-Jone,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141936,Andrographis paniculata leaf extract,C0938426,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141937,Paractin,C0938426,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141938,Mahalita,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141939,Chiretta,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141940,Andrographolide,"C0051821, C0051821, C0051821, C0051821, C0051821, C0051821, C0051821",,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141941,Shivaphala,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141942,Carmantina,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141944,Kalmegh,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141945,Kariyat,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141946,Andrographis herb extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141947,andrographolide,"C0051821, C0051821, C0051821, C0051821, C0051821, C0051821, C0051821",,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141948,Poogiphalam,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141949,Andrographis,"C0051821, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078, C1136078",,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141950,Paractin extra,C0938426,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141951,leaf,"C0242724, C0242724, C0242724, C0242724, C0242724, C1552865",,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141952,Sadilata,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141953,Andrographis paniculata,"C0938426, C0938426, C1256659, C1256659",,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141956,Andrographis paniculata Whole Plant Extract,C3818732,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141957,Creat,C0201975,,,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141958,Bhunimba,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141959,Andrographis extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141960,Andrographis paniculata Aerial Parts Extract,C4550643,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141961,Andrographis Aerial Part Extract,C4550643,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141964,AP-Bio proprietary Andrographis paniculata extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141966,aerial,,,,,Y
NMCD_DSLD_NHPID_MSKCC0477397,DA0141967,Andrographis aerial parts extract,C4550643,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141968,Chirette Verte,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141969,Nabin Chanvandi,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141970,Roi des Amers,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141971,Yavatikta,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141972,Justicie,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141973,organic Andrographis,C1136078,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141974,Indian Echinacea,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141975,dried Andrographis herb extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141976,Andrographis paniculata ParActin,C1256659,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141979,Bidara,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141981,Andrographis AP-Bio,C1136078,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141982,Vizra Ufar,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141983,Justicia paniculata,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141984,Andrographis whole plant extract,C3818732,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141987,Échinacée d'Inde,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141990,Takila,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141991,King of Bitters,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141992,Andrograph extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141993,Sambilata,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141994,Herba Andrographitis,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141995,Chirreta,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141996,Andrographis Leaf Extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141997,Andrographis paniculata standardized extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141998,Carmantine,C1256659,SEMANTIC,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0141999,Andrographis paniculata herb extract,C0938426,LEXICAL,LIVING BEING,,
NMCD_DSLD_NHPID_MSKCC0477397,DA0142000,Andrographis aerial parts ext.,C4550643,LEXICAL,LIVING BEING,,
DSLD_NMCD0477402,DA0142142,Angusture Vraie,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142143,Angostura,C2648396,,,,
DSLD_NMCD0477402,DA0142144,True Angostura,C2648396,LEXICAL,LIVING BEING,,
DSLD_NMCD0477402,DA0142145,Carony Bark,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142146,Cusparia trifoliata,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142147,Angostura trifoliata,C2648396,LEXICAL,LIVING BEING,,
DSLD_NMCD0477402,DA0142148,Galipea officinalis,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142149,Cusparia,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142150,Bonplandia trifoliata,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142151,Angostura bark,"C3488949, C3488949, C3488949, C3488949",,,,
DSLD_NMCD0477402,DA0142152,Cusparia Bark,C3488949,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142153,Cusparia febrifuga,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142155,Angusture,C2648396,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477402,DA0142156,Angustura,C0885090,LEXICAL,LIVING BEING,,
DSLD_NMCD0477402,DA0142157,Chuspa,C2648396,SEMANTIC,LIVING BEING,,
NMCD0477411,DA0142302,Arenaria Roja,C0996717,LEXICAL,LIVING BEING,,
NMCD0477411,DA0142303,Arenaria <Caryophyllaceae>,C0996717,,,,
NMCD0477411,DA0142304,Arenaria Rubra,C0996717,LEXICAL,LIVING BEING,,
NMCD0477411,DA0142305,Sandwort,C3826719,LEXICAL,LIVING BEING,,
NMCD0477411,DA0142306,Sabline Rouge,C0996717,SEMANTIC,LIVING BEING,,
NMCD0477411,DA0142307,Common Sandspurry,C0996717,SEMANTIC,LIVING BEING,,
NMCD0477411,DA0142308,Spergulaire Rouge,C0996717,SEMANTIC,LIVING BEING,,
NMCD0477411,DA0142309,Spergularia rubra,C1075231,,,,
NMCD0477411,DA0142310,Casse-Pierre,C0996717,SEMANTIC,LIVING BEING,,
NMCD0477411,DA0142311,Spergule Rouge,C0996717,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142758,Rhizoma Alismatis,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142759,Alisma plantago-aquatica var. orientale,C1000958,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142760,Plantago asiatica,"C1218744, C1218744, C3496398",,,,
NHPID_NMCD0477425,DA0142762,Cheqianzi,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142763,Ze Xie,C0696651,LEXICAL,LIVING BEING,,
NHPID_NMCD0477425,DA0142764,Asian plantain,C1218744,,,,
NHPID_NMCD0477425,DA0142765,Asian Water Plantain,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142766,Chao che qian zi,C0696899,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142767,Plantain d'Eau,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142768,Alisma Plantain d'Eau,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142769,Plantain d'Asie,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142770,Graines de Plantain,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142771,Alismatis Plantago,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142772,Dong Fang Ze Xie,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142774,Herba Plantaginis,C4760628,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142775,Alisma plantago-aquatica subsp. orientale,C1000958,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142776,Che qian,C0696899,LEXICAL,LIVING BEING,,
NHPID_NMCD0477425,DA0142777,Llanten de Agua,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142778,Che qian zi,C0696899,LEXICAL,LIVING BEING,,
NHPID_NMCD0477425,DA0142779,Jilgyeongitaegsa,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142780,Plantago,"C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0946846, C0947392, C1318426, C1318426",,,,
NHPID_NMCD0477425,DA0142781,Alisma orientale,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142782,Plantain,"C0939900, C0939900, C0946846, C0946846, C0946846, C0946846, C0946846, C1039591, C1235662, C1235662, C1235662, C1235662, C1235662, C1527062",,,,
NHPID_NMCD0477425,DA0142783,Alisma orientale (Sam.) Juz,C0696651,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142784,Plantain Seed,C3282119,LEXICAL,LIVING BEING,,
NHPID_NMCD0477425,DA0142785,Che Qian Cao,C4760628,SEMANTIC,LIVING BEING,,
NHPID_NMCD0477425,DA0142786,Alisma,"C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957, C1000957",,,,
NHPID_NMCD0477425,DA0142787,Semen Plantaginis,C4760628,LEXICAL,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142813,Sitawari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142814,Shatavari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142815,Majjigegadde,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142816,Asparagus racemosus,"C1672151, C1672151, C3496584",,,,
NHPID_DSLD_NMCD0477428,DA0142817,organic Shatavari powder,C4733936,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142819,Satawari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142820,Shatavari root Aqueous extract,C3496584,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142821,Shatavari root powder,C4733936,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142822,Asperge Indienne,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142823,Shatavari extract,C3496584,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142824,Satawar,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142825,dried Shatavari root extract,C3496584,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142826,organic Shatavari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142827,Wild Asparagus,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142828,Espárragos Racemosus,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142829,Toala-gaddalu,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142831,Asperge des Indes,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142832,Shatavari root extract,C3496584,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142833,Shimaishadavari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142834,Asperges Racemosus,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142835,Philli-gaddalu,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142836,organic Shatavari extract,C3496584,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142837,Satmooli,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142838,Espárrago Racemosus,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142839,Inli-chedi,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142840,Satmuli,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142841,Narbodh,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142843,Asperge Sauvage,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142844,Shatmuli,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142845,Kairuwa,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142846,Shatamuli,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142848,Norkanto,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142849,Asparagus,"C0446221, C0446221, C0453110, C0453110, C0453110, C0453110, C0453110, C0453110, C0453110, C0939866, C0939866, C0939866, C1138606, C1138606, C1138606, C1138606, C1138606, C2722026, C2722026",,,,
NHPID_DSLD_NMCD0477428,DA0142850,Chatavali,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142851,Asparagus Root,C4733936,LEXICAL,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142853,Aheruballi,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142854,Indian Asparagus,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142855,Satavari,C1672151,SEMANTIC,LIVING BEING,,
NHPID_DSLD_NMCD0477428,DA0142856,Asparagus Racemosus,"C1672151, C1672151, C3496584",,,,
DSLD_NMCD0477451,DA0143499,2-Phenylpropan-1-amine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143500,R-Beta-Methylphenylethylamine,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143501,B-Methylphenylethylamine HCl,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143502,beta-methylphenyl-ethylamine,C4041589,,,,
DSLD_NMCD0477451,DA0143503,ß-methylphenethylamine,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143504,beta-methylphenylethylamine HCl,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143505,1-phenyl-1-methyl-2-aminoethane,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143506,N-Methyl-Beta-Methylphenylethylamine HCl,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143507,2-phenyl-1-propanamine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143509,BMPEA,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143510,Beta-Methylphenylethylamine,C4041589,,,,
DSLD_NMCD0477451,DA0143511,Beta-Methylphenethylamine,C4041589,,,,
DSLD_NMCD0477451,DA0143512,N-Methyl Beta Phenylethylamine HCl,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143513,1-amino-2-phenylpropane,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143514,B-Methyl-Phenylethylamine,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143515,2-phenylpropylamine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143516,2-aminoisopropylbenzene,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143517,B-Methyl-Phenylethylamine HCl,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143518,beta-Me-PEA,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143519,2-phenyl-1-propanamin,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143520,Beta-Methylphenylethylamine HCl,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143521,N-Methyl-Beta-Phenylethylamine HCl,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143522,R-Beta-Methylphenylethylamine HCl,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143523,N-Methyl-Phenylethylamine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143524,N-Methyl-Beta-Phenylethylamine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143525,R-Beta-Methyl Phenylethylamine HCl,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143527,ß-Me-PEA,C4041589,LEXICAL,CHEM/RX,,
DSLD_NMCD0477451,DA0143528,N-Methyl-Beta Phenylethylamine,C4041589,SEMANTIC,CHEM/RX,,
DSLD_NMCD0477451,DA0143529,beta-methylphenylethylamine,C4041589,,,,
NMCD0477461,DA0143679,Ajowanj,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143680,Ammi majus,"C0331050, C0331050, C0331050, C0331050, C0331050",,,,
NMCD0477461,DA0143681,Carum,"C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C0331052, C1095882",,,,
NMCD0477461,DA0143682,Grand Ammi,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143683,Ajowan,"C0950083, C0950083, C0950083, C0950083, C0950083, C0950083, C0950083",,,,
NMCD0477461,DA0143684,Ajwan,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143685,Ameo Bastardo,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143686,Yavani,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143687,Bishop's Flower,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143688,Ammi Commun,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143689,Ajava Seeds,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143690,Flowering Ammi,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143691,Ammi glaucifolium,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143692,Bisnague,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143693,Ajowan Seed,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143694,Ammi Inodore,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143696,Omum,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143697,Espuma del Mar,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143698,Bishop's Weed,"C0331050, C0331050, C0995143, C4255164",,,,
NMCD0477461,DA0143699,Ajowan Caraway,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143700,Ammi Officinal,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143701,Bullwort,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143702,Ammi Élevé,C0331050,SEMANTIC,LIVING BEING,,
NMCD0477461,DA0143703,Ajwain,C0331050,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143734,Bittere Mandel,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143735,Volatile Almond Oil,C0301250,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143736,Bittere Mandeln,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143737,Prunus communis var. amara,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143738,Bittermandeltraed,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143739,Amygdalus dulcis var. amara,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143740,Karvasmanteli,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143741,Bitter Almond,"C0330656, C0330656, C0330656, C3540675",,,,
DSLD_NMCD0477463,DA0143742,Bittere-Amandelboom,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143743,Mindal' Gor'kii,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143744,Amendoa Amarga,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143745,Bitter Almond Tree,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143746,Huile d'Amande Volatile,C0301250,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143747,Mandorlo Amaro,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143748,Bitter Almond Oil,"C0301250, C0301250, C0301250, C0301250, C0301250, C0301250, C0301250, C0301250",,,,
DSLD_NMCD0477463,DA0143749,Mandorla Amara,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143750,Amandier a Fruits Amers,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143751,Prunus amygdalus var. amara,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143752,Bittermandelbaum,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143754,Almendro Amargo,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143755,Almendra Amarga,C0330656,,,,
DSLD_NMCD0477463,DA0143756,Prunus dulcis var. amara,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143757,Amygdala Amara,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143758,Bittere Amandel,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143759,bitter almond extract,"C3540675, C3540675",,,,
DSLD_NMCD0477463,DA0143760,Huile d'Amande Amère,C0301250,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143761,Bittermandeltae,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143762,Amygdalus communis var. amara,C0330656,LEXICAL,LIVING BEING,,
DSLD_NMCD0477463,DA0143763,Amandier Amer,C0330656,,,,
DSLD_NMCD0477463,DA0143764,Amande Amère,C0330656,SEMANTIC,LIVING BEING,,
DSLD_NMCD0477463,DA0143765,Bittermandel,C0330656,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143976,Igname Sauvage,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143977,Trifoliate Yam,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143978,Helmia dumetorum,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143979,Three-leaved Yam,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143980,Cluster Yam,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143981,Igname Trifoliolée,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143982,Ñame Amargo,C1196749,SEMANTIC,LIVING BEING,,
NMCD0477466,DA0143983,African Bitter Yam,C1196749,SEMANTIC,LIVING BEING,,
